招生学院	所在校区	一级学科	报考专业代码	二级学科	专硕or学硕	一年学费	排名方式	专业学制	专业说明	政治	外语	业务课一	业务课二	科目一	科目二	初试参考书名称	作者	版本号	出版社	说明	初试参考书图片名称	复试参考书名称	作者	版本号	出版社	说明	复试参考书图片名称	拟录取名单	复试名单	2021	2020	2019	2018
信息科学与工程学部	崂山校区	0854电子信息	085400	电子信息（网络空间安全与保密方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	940计算机网络与安全	F0216程序设计与攻防实践（上机）	-	计算机网络#计算机安全原理与实践	谢希仁#威廉·斯托林斯	第七版#第四版	电子工业出版社#机械工程出版社	重点教材，对照大纲看课本内容。问答与计算是重点。主要考信道利用率的、子网掩码的作用、ftp的交互过程等，前六章的知识点占比较高。#辅助性教材，适当扩充知识面	17.jpg#18.jpg	-	-	-	-	-	-	2021-dzxxwlkjaqybm.xls	2021-dzxxwlkjaqybm.xls#2020-dzxxwlkjaqybmfx.xls	27#36#30#16.7%#-#333#-	30#64#62#3.1%#-#264#-	19#-#-#-#192#349#10.1:1	20#-#-#-#114#197#5.7:1
信息科学与工程学部	崂山校区	0854电子信息	085400	电子信息（光电工程方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	806普通物理	F0212光电基础综合	-	物理学	马文蔚	第六版	高等教育出版社	前两章的公式一定要认真记，这属于后面章节的基础。第三到第九章，这几个章节需要认真去看一下。第三、四的原理和公式比较多，有时会联合起来出大题。第五、六章重点掌握电场和电势的计算，课本例题上有一些典型的例题，要认真做完，答案也要背过。九、十章节有好几年没出大题，这两章难度并不是很大，但是也要认真掌握。第十到第十二章必考计算大题，所以一定要认真对待。后面的第十四、十五、十六章节主要是一些概念和简答的复习。	2.jpg	-	-	-	-	-	-	2021-dzxxgdgc.xls	2021-dzxxgdgc.xls#2020-dzxxgdgcfx.xls	35#43#36#16.3%#-#264#-	35#27#44#0#-#264#-	-	-
信息科学与工程学部	崂山校区	0854电子信息	085400	电子信息（智能感知与信息处理方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	981电子信息综合	F0217电子信息实践（上机）	-	C程序设计#电子技术基础 数字部分	谭浩强#康光华	第四版或第五版#第六版	清华大学出版社#高等教育出版社	C语言是大头，复习时间也应分配得更多。建议跟着推荐视频课和教材书过基础，随后可以开刷海大C语言的本校期末题，很多题型和真题很像。之后把真题好好刷几遍。最后冲刺阶段可以回顾复习的笔记，再做适当的模拟题练习即可。#结合大纲梳理内容	14.jpg#19.jpg	-	-	-	-	-	-	2021-dzxxzngzyxxcl.xls	2021-dzxxzngzyxxcl.xls#-	100#40#124#0#-#263#-	-	-	-
信息科学与工程学部	崂山校区	0854电子信息	085400	电子信息（海洋技术方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	810数字电子技术	F0215信号与系统	-	数字电子技术	阎石	第六版	高等教育出版社	考纲内容一一掌握，课后习题至少做两遍，结合810真题，重点常考题目进行总结	10.jpg	信号与系统	奥本海姆	第二版	电子工业出版社	参考946的考纲和真题进行复习	24.jpg	2021-dzxxhyjs.xls	2021-dzxxhyjs.xls#-	30#22#33#9.1%#-#263#-	-	-	-
信息科学与工程学部	崂山校区	0854电子信息	085400	电子信息（智能信息系统方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	981电子信息综合	F0217电子信息实践（上机）	-	C程序设计#电子技术基础 数字部分	谭浩强#康光华	第四版或第五版#第六版	清华大学出版社#高等教育出版社	C语言是大头，复习时间也应分配得更多。建议跟着推荐视频课和教材书过基础，随后可以开刷海大C语言的本校期末题，很多题型和真题很像。之后把真题好好刷几遍。最后冲刺阶段可以回顾复习的笔记，再做适当的模拟题练习即可。#-	14.jpg#19.jpg	-	-	-	-	-		2021-dzxxznxxxt.xls	2021-dzxxznxxxt.xls#-	40#5#23#0#-#263#-	-	-	-
信息科学与工程学部	崂山校区	0857资源与环境	085700	资源与环境（测绘工程方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	810数字电子技术	F0215信号与系统	-	地理信息系统#地理信息系统	汤国安#邬伦	第二版#-	科学出版社#科学出版社	内容与大纲贴合度最高，好好梳理知识点#此书辅助性教材，适当扩充下知识面	4.jpg#5.jpg	信号与系统	奥本海姆	第二版	电子工业出版社	参考946的考纲和真题进行复习	24.jpg	2021-zyyhj.xls	2021-zyyhj.xls#2020-zyyhjchgcfx.xls	10#13#10#23.1%#346#-	10#18#15#16.7%#-#264#-	6#-#-#-#16#281#2.7:1	4#-#-#-#20#299#5:1
信息科学与工程学部	崂山校区	0951农业	095136	农业工程与信息技术	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	981电子信息综合	F0217电子信息实践（上机）	-	C程序设计#计算机网络考研复习指导#数据库系统概论#大学计算机基础	谭浩强#王道#王珊#甘勇	第四版#2022#第五版#-	清华大学出版社#电子工业出版社#高等教育出版社#高等教育出版社	C语言是大头，复习时间也应分配得更多。建议跟着推荐视频课和教材书过基础，随后可以开刷海大C语言的本校期末题，很多题型和真题很像。之后把真题好好刷几遍。最后冲刺阶段可以回顾复习的笔记，再做适当的模拟题练习即可。#-#-#-	14.jpg#20.jpg#21.jpg#22.jpg	-	-	-	-	-	-	2021-nygcyxxjs.xls	2021-nygcyxxjs.xls#2020-nygcyxxjs.xls	11#16#14#12.1%#-#362#-	10#27#24#11.1%#-#253#-	11#-#-#-#15#255#1.4:1	-#-#-#-#-#-#-
化学化工学院	崂山校区	0703化学	070301	无机化学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	619分析化学（含仪分）	815物理化学A	F0301综合化学		分析化学（上下册）#物理化学	武汉大学#傅献彩	第六版#第五版	高等教育出版社#高等教育出版社	上册：内容重点为数据处理、四大滴定、重量滴定、光度法。掌握滴定原理、误差、应用，计算题考点大多是上册。络合滴定必定要考大题，要把常见的滴定实例看明白（课本上有），了解滴定原理、突跃范围、掩蔽剂、络合剂、指示剂的使用条件，可能会有设计滴定的题目。其他滴定方法考察类似。看完基础知识就要做课后题，同时建议辅助樊行雪的考研辅导书。下册（仪器分析）：光学、电学、色谱分析。重点了解仪器结构、原理，各个部分的作用，以及各种仪器的应用范围。根据仪器的结构画知识框架图比较容易记忆，仪器分析大部分都是背的内容。海大的简答题大部分都来自仪器分析。读谱题分值20分左右，建议多练习四大谱读谱。建议辅助朱明华的教材资料，课后习题一定要做，海大真题考点很广#物理化学（南大）：建议每看一章就做课后题（南大课后题比较难，不会的可以先空过，第二轮复习再看）。可以根据沈文霞的物理化学学习指导了解考点和重点，这本书归纳的很好，适合第一轮、第二轮复习。	f1.jpg#w1.jpg	无机化学（上下册）+习题解答#有机化学	宋天佑#胡宏纹	第三版#第四版	高等教育出版社#高等教育出版社	宋天佑课本+宋天佑网课。复试考点不是很难，上册比较简单，主要是理论（填空题）和计算（比如电离能、CFSE等）。元素化学的内容比较多，多是元素性质和反应，按照元素周期表的顺序归纳背诵，多考察选择题、方程式等#胡宏纹教材+李艳梅网课+李艳梅课件。按照物质的结构和化学性质做笔记。考题不难，很基础，辅导书建议用吴范宏的有机化学学习与考研指津	1.jpg#2.jpg	2021-wjhx.xls	2021-hx.xls#2020-hx.xls	1#0#2#0#-#305#-	2#0#4#0#-#288#-	2#-#-#-#5#319#2.5:1	2#-#-#-#5#280#2.5:1
化学化工学院	崂山校区	0703化学	070302	分析化学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	619分析化学（含仪分）	815物理化学A	F0301综合化学		分析化学#物理化学	武汉大学#傅献彩	第六版#第五版	高等教育出版社#高等教育出版社	上册：内容重点为数据处理、四大滴定、重量滴定、光度法。掌握滴定原理、误差、应用，计算题考点大多是上册。络合滴定必定要考大题，要把常见的滴定实例看明白（课本上有），了解滴定原理、突跃范围、掩蔽剂、络合剂、指示剂的使用条件，可能会有设计滴定的题目。其他滴定方法考察类似。看完基础知识就要做课后题，同时建议辅助樊行雪的考研辅导书。下册（仪器分析）：光学、电学、色谱分析。重点了解仪器结构、原理，各个部分的作用，以及各种仪器的应用范围。根据仪器的结构画知识框架图比较容易记忆，仪器分析大部分都是背的内容。海大的简答题大部分都来自仪器分析。读谱题分值21分左右，建议多练习四大谱读谱。建议辅助朱明华的教材资料，课后习题一定要做，海大真题考点很广#物理化学（南大）：建议每看一章就做课后题（南大课后题比较难，不会的可以先空过，第二轮复习再看）。可以根据沈文霞的物理化学学习指导了解考点和重点，这本书归纳的很好，适合第一轮、第二轮复习。	f1.jpg#w1.jpg	无机化学（上下册）+习题解答#有机化学	宋天佑#胡宏纹	第三版#第四版	高等教育出版社#高等教育出版社	宋天佑课本+宋天佑网课。复试考点不是很难，上册比较简单，主要是理论（填空题）和计算（比如电离能、CFSE等）。元素化学的内容比较多，多是元素性质和反应，按照元素周期表的顺序归纳背诵，多考察选择题、方程式等#胡宏纹教材+李艳梅网课+李艳梅课件。按照物质的结构和化学性质做笔记。考题不难，很基础，辅导书建议用吴范宏的有机化学学习与考研指津	1.jpg#2.jpg	2021-fxhx.xls	2021-hx.xls#2020-hx.xls	13#30#13#56.7%#-#305#-	13#14#18#0#-#288#-	8#-#-#-#106#319#13.2:1	10#-#-#-#87#310#8.7:1
化学化工学院	崂山校区	0703化学	070303	有机化学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	619分析化学（含仪分）	815物理化学A	F0301综合化学		分析化学#物理化学	武汉大学#傅献彩	第六版#第五版	高等教育出版社#高等教育出版社	上册：内容重点为数据处理、四大滴定、重量滴定、光度法。掌握滴定原理、误差、应用，计算题考点大多是上册。络合滴定必定要考大题，要把常见的滴定实例看明白（课本上有），了解滴定原理、突跃范围、掩蔽剂、络合剂、指示剂的使用条件，可能会有设计滴定的题目。其他滴定方法考察类似。看完基础知识就要做课后题，同时建议辅助樊行雪的考研辅导书。下册（仪器分析）：光学、电学、色谱分析。重点了解仪器结构、原理，各个部分的作用，以及各种仪器的应用范围。根据仪器的结构画知识框架图比较容易记忆，仪器分析大部分都是背的内容。海大的简答题大部分都来自仪器分析。读谱题分值22分左右，建议多练习四大谱读谱。建议辅助朱明华的教材资料，课后习题一定要做，海大真题考点很广#物理化学（南大）：建议每看一章就做课后题（南大课后题比较难，不会的可以先空过，第二轮复习再看）。可以根据沈文霞的物理化学学习指导了解考点和重点，这本书归纳的很好，适合第一轮、第二轮复习。	f1.jpg#w1.jpg	无机化学（上下册）+习题解答#有机化学	宋天佑#胡宏纹	第三版#第四版	高等教育出版社#高等教育出版社	宋天佑课本+宋天佑网课。复试考点不是很难，上册比较简单，主要是理论（填空题）和计算（比如电离能、CFSE等）。元素化学的内容比较多，多是元素性质和反应，按照元素周期表的顺序归纳背诵，多考察选择题、方程式等#胡宏纹教材+李艳梅网课+李艳梅课件。按照物质的结构和化学性质做笔记。考题不难，很基础，辅导书建议用吴范宏的有机化学学习与考研指津	1.jpg#2.jpg	2021-yjhx.xls	2021-hx.xls#2020-hx.xls	1#0#2#0#-#305#-	1#0#3#0#-#288#-	1#-#-#-#11#319#11:1	1#-#-#-#11#280#11:1
